Flat-Pot,Flat,Pot,Pop,ID ,No.,Fl_Time,Fl_Node,St_Height,St_Diam,Fl_Length,Fl_Wid,Fl_Height,Brnc_No,Leaf_No,Time_Bud
8-22,8,22,SMG,19,1,3/6/2019,3,6.8,1.7,1.3,1.5,1.3,3,22,2/26/2019
8-23,8,23,MTD,41,1,3/7/2019,2,6.2,1.8,1.2,1.9,1.1,2,20,3/1/2019
8-24,8,24,EVS,35,1,3/12/2019,3,16.2,2.5,1.8,1.6,1.5,1,14,3/5/2019
8-25,8,25,FIR,40,1,3/3/2019,3,6.1,1.4,1.5,1.6,1.4,6,26,2/24/2019
8-26,8,26,MBR,16,1,3/1/2019,2,4.6,1.5,1.5,1.4,1.4,2,14,2/24/2019
8-27,8,27,MTD,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-28,8,28,FSM,12,2,2/24/2019,1,3.5,1,1.2,1,1.2,0,6,2/20/2019
8-29,8,29,MBR,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-30,8,30,SEC,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-31,8,31,MBR,69,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-32,8,32,SMG,36,2,3/1/2019,3,8.2,1.8,1.6,1.5,1.6,5,26,2/23/2019
9-1,9,1,HOV,8,2,3/13/2019,4,11,2.5,1.7,1.6,1.6,5,38,3/8/2019
9-2,9,2,OWC,22,1,3/11/2019,3,11.7,1.3,1.5,1.5,1.5,6,30,3/4/2019
9-3,9,3,HDM,11,2,3/1/2019,1,3.2,1,1.1,1,1,0,4,2/22/2019
9-4,9,4,RRM,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-5,9,5,MTD,71,2,3/8/2019,3,5.4,1.7,1.5,1.4,1.1,2,16,2/27/2019
9-6,9,6,MTD,45,1,3/4/2019,4,14.7,1.9,1.9,1.5,1,6,28,2/24/2019
9-7,9,7,HDM,89,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-8,9,8,BMP,39,2,3/12/2019,4,8.5,2.1,1.6,1.8,1.8,7,44,3/3/2019
9-9,9,9,FIR,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-10,9,10,HOV,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-11,9,11,EVS,58,1,3/6/2019,3,11.2,2.2,1.4,1.9,1.5,6,22,2/27/2019
9-12,9,12,SEC,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-13,9,13,HDM,43,1,3/14/2019,5,3.3,2.8,1.4,1.8,1,8,51,3/5/2019
9-14,9,14,BMP,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-15,9,15,SMG,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-16,9,16,MBR,9,2,3/10/2019,5,7.1,1.6,1.6,1.6,1.7,6,38,3/2/2019
9-17,9,17,MTD,13,2,3/29/2019,5,3.7,0.8,1.6,1.5,1.2,10,96,3/21/2019
9-18,9,18,OWC,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-19,9,19,BMP,58,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-20,9,20,EVS,71,2,3/28/2019,5,7.5,1.9,1.5,1.4,1.6,14,78,3/19/2019
9-21,9,21,SMG,98,2,2/26/2019,2,4.7,1.4,1.3,1.2,1.2,0,10,2/20/2019
9-22,9,22,OWC,15,2,3/3/2019,2,5.3,1.2,1.2,1.2,1,0,11,2/26/2019
9-23,9,23,EVS,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-24,9,24,MTD,72,2,3/8/2019,3,6.7,2.2,1.8,1.8,1.7,4,22,3/2/2019
9-25,9,25,MTD,6,2,2/28/2019,2,2.1,1.1,1.4,1.8,1.3,4,14,2/23/2019
9-26,9,26,FSM,57,2,2/28/2019,2,3.9,1.3,1.6,1.7,1.6,0,12,2/20/2019
9-27,9,27,SMG,58,2,3/13/2019,3,4.5,1.9,1.1,1,0.9,5,30,3/9/2019
9-28,9,28,MBR,77,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-29,9,29,HOV,62,1,3/1/2019,2,7.5,1.5,1.7,2,1.8,2,16,2/24/2019
9-30,9,30,EVS,42,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-31,9,31,SMG,65,1,3/7/2019,2,3.3,1.3,1.2,1.5,1,2,10,2/27/2019
9-32,9,32,RRM,40,2,3/4/2019,3,6,1.5,1.4,1.2,1.4,6,26,2/25/2019
10-1,10,1,MTD,77,2,3/19/2019,6,5.3,1.6,1.3,1.6,2,7,58,3/10/2019
10-2,10,2,MBR,20,1,3/10/2019,3,10.2,1.8,1.7,1.5,1.4,2,16,3/1/2019
10-3,10,3,MTD,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-4,10,4,FIR,19,2,3/3/2019,3,10.5,2,1.8,1.7,1.7,6,26,2/24/2019
10-5,10,5,SEC,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-6,10,6,EVS,6,2,3/11/2019,3,6.6,1.1,1.5,1.7,1.3,4,16,3/3/2019
10-7,10,7,FIR,71,1,3/1/2019,2,6.7,1.8,1.5,1.6,1.5,3,16,2/23/2019
10-8,10,8,BMP,39,1,3/10/2019,4,12.6,1.8,1.8,2.2,2.1,8,40,2/27/2019
10-9,10,9,SMG,93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-10,10,10,SMG,75,1,3/9/2019,3,6.4,2.6,1.7,1.5,1.8,2,16,3/1/2019
10-11,10,11,SEC,68,2,2/24/2019,1,2.9,1.2,1.8,1.3,1.2,0,6,2/20/2019
10-12,10,12,HOV,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-13,10,13,OWC,31,1,3/9/2019,3,9.4,1.4,1.5,1.9,2.2,3,16,3/1/2019
10-14,10,14,SMG,14,2,4/11/2019,8,8.3,2.6,1.8,1.7,1.6,10,106,4/5/2019
10-15,10,15,FSM,99,2,2/27/2019,1,5,0.9,1.4,1.4,1.3,0,6,2/21/2019
10-16,10,16,RRM,44,1,3/11/2019,4,9.6,1.7,1.4,1.9,1.5,8,40,3/3/2019
10-17,10,17,OWC,54,1,3/4/2019,3,8.5,1.4,1.4,1.5,1.4,2,16,2/24/2019
10-18,10,18,FSM,45,1,3/1/2019,1,4.1,1.3,1.4,1.2,1.2,0,6,2/23/2019
10-19,10,19,HOV,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-20,10,20,MBR,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-21,10,21,BMP,19,2,3/4/2019,2,4.9,1.9,1.4,1.3,1.3,2,12,2/25/2019
10-22,10,22,MBR,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-23,10,23,RRM,9,2,3/7/2019,3,5.3,2.1,1.6,2,1.5,8,31,2/27/2019
10-24,10,24,OWC,86,1,3/6/2019,3,5.7,1.9,1.4,1.3,1.2,5,20,2/27/2019
10-25,10,25,OWC,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-26,10,26,HDM,55,1,3/2/2019,2,3.7,1.5,1.8,1.3,1.2,0,8,2/23/2019
10-27,10,27,RRM,89,1,3/19/2019,6,5.6,1.5,1.3,1.3,1.4,4,34,3/12/2019
10-28,10,28,MBR,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-29,10,29,SMG,52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-30,10,30,HDM,61,2,3/6/2019,3,9.4,2.3,1.7,1.7,1.7,6,30,2/27/2019
10-31,10,31,SEC,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-32,10,32,SMG,52,1,3/11/2019,4,3.4,1.3,1.4,1.6,1.6,4,16,3/4/2019
11-1,11,1,FSM,62,2,3/4/2019,1,4.1,1.3,1.4,1.2,1.2,0,6,2/26/2019
11-2,11,2,SMG,8,2,3/23/2019,7,11.1,2.6,1.7,1.9,1.5,10,60,3/13/2019
11-3,11,3,HOV,64,1,3/6/2019,3,8.1,2.2,1.5,1.7,1.6,2,20,2/26/2019
11-4,11,4,HDM,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-5,11,5,MTD,44,1,3/10/2019,4,10,2.2,1.6,1.8,1.1,8,46,3/4/2019
11-6,11,6,EVS,54,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-7,11,7,EVS,70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-8,11,8,FIR,9,1,3/10/2019,3,5,1.3,1.5,1.5,1.3,2,16,3/1/2019
11-9,11,9,BMP,24,2,3/22/2019,6,6.1,1.2,1.2,1.6,1.3,19,118,3/13/2019
11-10,11,10,MBR,22,1,3/8/2019,3,8.1,1.6,1.7,1.6,1.7,3,20,2/26/2019
11-11,11,11,FSM,68,2,3/10/2019,4,9.6,1.8,1.7,2,1.9,4,26,3/1/2019
11-12,11,12,EVS,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-13,11,13,HOV,13,2,4/11/2019,9,15.3,1.8,1.8,2,1.8,14,122,4/4/2019
11-14,11,14,RRM,53,2,3/22/2019,5,10.4,1.5,0.7,1.4,1.5,11,78,3/12/2019
11-15,11,15,MBR,79,2,3/27/2019,9,18.2,2.2,1.9,1.7,1.5,16,134,3/16/2019
11-16,11,16,EVS,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-17,11,17,EVS,8,1,3/23/2019,7,8.9,2.7,1.6,1.8,1.4,8,84,3/15/2019
11-18,11,18,HDM,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-19,11,19,EVS,80,2,3/20/2019,5,6.1,1.3,1.2,1.1,1.3,10,72,3/14/2019
11-20,11,20,RRM,77,2,3/4/2019,4,10.5,1.6,1.4,1.5,1.5,4,32,2/26/2019
11-21,11,21,OWC,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-22,11,22,FIR,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-23,11,23,FIR,24,2,3/25/2019,7,10.2,1.6,1.6,2,1.7,4,46,3/12/2019
11-24,11,24,SEC,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-25,11,25,HDM,46,1,3/2/2019,2,4.9,1.7,1.4,1.3,1.3,1,12,2/24/2019
11-26,11,26,MBR,94,2,3/4/2019,3,6.5,1.4,1.4,1.5,1.1,0,10,2/24/2019
11-27,11,27,SMG,63,2,3/17/2019,5,5.2,1.8,1.6,1.9,1.6,5,28,3/10/2019
11-28,11,28,BMP,7,2,3/2/2019,1,4.4,1.2,1.2,1,1,0,8,2/24/2019
11-29,11,29,BMP,53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-30,11,30,HDM,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-31,11,31,FSM,86,1,3/22/2019,5,10.1,2.5,1.8,1.5,1.6,8,64,3/9/2019
11-32,11,32,FSM,62,1,2/24/2019,2,5.7,1.9,1.7,1.5,1.3,4,18,2/20/2019
12-1,12,1,OWC,71,2,3/4/2019,3,14,2.2,1.5,1.6,1.6,3,16,2/26/2019
12-2,12,2,HDM,67,2,3/26/2019,6,8.5,1.2,1.6,1.4,1.8,2,24,3/21/2019
12-3,12,3,SEC,12,1,3/9/2019,3,5.9,1.7,1.4,2.2,1.8,0,10,3/1/2019
12-4,12,4,OWC,12,2,3/4/2019,2,7.5,1,1.1,1.1,1.1,0,10,2/26/2019
12-5,12,5,OWC,61,2,3/10/2019,3,11.7,1.2,1.6,1.6,1.9,6,26,3/1/2019
12-6,12,6,FSM,88,2,3/3/2019,1,2.5,0.7,1.2,1.2,1.2,0,4,2/25/2019
12-7,12,7,HDM,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-8,12,8,MTD,83,1,3/2/2019,3,6.7,1.7,1.3,1.5,1.2,4,20,2/23/2019
12-9,12,9,EVS,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-10,12,10,MBR,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-11,12,11,HDM,19,2,3/15/2019,5,12.8,2.1,1.5,1.6,1.8,6,52,3/7/2019
12-12,12,12,MTD,57,1,3/9/2019,3,5.5,1.9,1.3,1.6,1.2,6,34,3/4/2019
12-13,12,13,SEC,66,2,3/10/2019,4,8.3,1.8,1.7,1.9,1.5,5,24,3/3/2019
12-14,12,14,OWC,66,2,3/9/2019,2,13.8,1.9,1.5,1.3,1.6,2,18,2/28/2019
12-15,12,15,HDM,69,1,3/28/2019,6,7.6,1.3,1.4,2.1,1.9,2,22,3/21/2019
12-16,12,16,SMG,8,1,3/1/2019,2,5.5,1.8,1.9,1.5,1.2,2,16,2/23/2019
12-17,12,17,RRM,14,2,3/17/2019,4,10.8,1.9,1.4,1.4,1.2,6,40,3/10/2019
12-18,12,18,SMG,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-19,12,19,HOV,94,1,3/3/2019,2,4.8,1.6,1.2,1.1,1.3,0,8,2/24/2019
12-20,12,20,BMP,48,2,3/12/2019,5,10.8,2.5,1.6,1.8,1.6,7,58,3/6/2019
12-21,12,21,EVS,55,1,3/4/2019,2,2.8,1,1.2,0.8,1.1,0,8,2/24/2019
12-22,12,22,HDM,61,1,4/8/2019,6,14.1,2.1,1.6,1.7,1.5,6,90,3/29/2019
12-23,12,23,MTD,14,1,3/3/2019,3,5.2,1.7,1.9,1.6,1.5,4,18,2/25/2019
12-24,12,24,FSM,84,1,2/23/2019,1,2.4,1.1,1.8,0.9,1.3,0,6,2/20/2019
12-25,12,25,MBR,79,1,3/27/2019,8,8.3,1.6,1.8,1.8,1.7,14,96,3/13/2019
12-26,12,26,BMP,98,1,3/4/2019,2,4.5,1.8,1.3,1.6,1.2,2,14,2/25/2019
12-27,12,27,BMP,92,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-28,12,28,BMP,76,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-29,12,29,EVS,44,2,3/6/2019,4,5.6,1.7,1.4,1.4,1.5,8,44,2/27/2019
12-30,12,30,SMG,65,2,3/19/2019,4,6.1,1.9,1.3,1.2,1.4,2,18,3/11/2019
12-31,12,31,RRM,22,2,3/12/2019,5,8.3,2.1,1.3,2,1.9,5,38,3/2/2019
12-32,12,32,MBR,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-1,13,1,BMP,33,1,3/7/2019,3,6.3,1.8,1.5,2,1.1,4,16,2/26/2019
13-2,13,2,HOV,2,1,3/8/2019,3,9.3,2.1,1.7,2,1.7,4,26,3/2/2019
13-3,13,3,MBR,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-4,13,4,SMG,61,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-5,13,5,SEC,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-6,13,6,SMG,16,1,3/9/2019,2,2.9,1.2,1.3,1.2,1.1,0,6,3/1/2019
13-7,13,7,OWC,80,2,3/23/2019,7,14.5,2.5,1.8,2.1,1.8,4,46,3/16/2019
13-8,13,8,OWC,29,1,3/9/2019,4,9.6,2.4,1.7,2,1.7,1,12,3/1/2019
13-9,13,9,FSM,44,1,4/4/2019,5,6.3,1.2,1.2,0.8,0.6,8,92,3/26/2019
13-10,13,10,HOV,44,2,3/1/2019,2,5.6,1.5,1.3,1,1,3,14,2/23/2019
13-11,13,11,EVS,76,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-12,13,12,SEC,8,2,3/2/2019,3,8.5,1.7,1.4,1.7,1.4,6,28,2/24/2019
13-13,13,13,FSM,95,1,3/3/2019,3,7.4,2,1.6,1.6,1.7,0,14,2/25/2019
13-14,13,14,FIR,34,1,3/15/2019,4,8.2,2.1,1.5,1.4,1.3,7,46,3/8/2019
13-15,13,15,HDM,37,1,3/10/2019,2,4.2,1.6,1.3,1.4,1.3,1,14,3/3/2019
13-16,13,16,SEC,79,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-17,13,17,MBR,42,1,4/2/2019,4,4.3,0.5,1.4,1.2,1.2,3,24,3/24/2019
13-18,13,18,HDM,16,2,3/7/2019,2,4.7,2.5,1.3,1.9,1.4,4,22,2/26/2019
13-19,13,19,MBR,59,1,3/7/2019,3,6.4,2.2,1.5,1.6,1.2,4,34,2/26/2019
13-20,13,20,EVS,99,1,3/6/2019,2,3.7,1.6,1.2,1.3,1.2,4,20,2/27/2019
13-21,13,21,HOV,62,2,3/2/2019,3,8.8,1.8,1.7,1.7,1.6,2,16,2/23/2019
13-22,13,22,OWC,54,2,3/11/2019,5,15.7,2.3,2,2.3,1.9,6,36,2/27/2019
13-23,13,23,MBR,45,2,3/12/2019,4,18.5,3,1.8,1.7,1.6,4,22,3/9/2019
13-24,13,24,OWC,63,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-25,13,25,BMP,24,1,3/10/2019,1,7,1.3,1.2,1.3,1.3,8,52,3/2/2019
13-26,13,26,MBR,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-27,13,27,HDM,71,2,3/3/2019,2,7.7,1.5,1.4,1.5,1.3,0,10,2/25/2019
13-28,13,28,FIR,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-29,13,29,SEC,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-30,13,30,FIR,1,1,3/14/2019,3,8.2,2.2,1.7,1.7,1.3,4,35,3/8/2019
13-31,13,31,HOV,21,1,4/3/2019,3,8.2,1.3,1.7,1.8,1.2,0,10,3/28/2019
13-32,13,32,FIR,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-1,14,1,MTD,44,2,3/19/2019,5,6.1,1.5,1.6,1.8,1.7,4,36,3/10/2019
14-2,14,2,HOV,32,1,3/6/2019,3,7.3,1.4,1.9,1.9,1.3,0,10,2/26/2019
14-3,14,3,SEC,84,1,4/11/2019,7,6.1,1.3,1.5,1.4,1.3,8,106,4/6/2019
14-4,14,4,FIR,4,2,4/2/2019,9,11.2,1.6,1.5,1.6,1.5,8,88,3/24/2019
14-5,14,5,FIR,10,2,3/6/2019,2,4.5,1.5,1.4,1.2,1,0,8,2/26/2019
14-6,14,6,RRM,99,1,3/2/2019,3,9.5,2,1.8,1.5,1.7,3,20,2/24/2019
14-7,14,7,HDM,82,2,3/10/2019,3,6.7,1.9,1.7,1.9,1.8,4,24,3/2/2019
14-8,14,8,OWC,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-9,14,9,FIR,42,2,4/6/2019,7,10.6,2.2,1.6,2.1,1.8,8,80,3/29/2019
14-10,14,10,OWC,55,1,3/13/2019,4,6.3,1.6,1.2,1.6,1.4,8,34,3/6/2019
14-11,14,11,SMG,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-12,14,12,MTD,2,2,3/1/2019,1,4.8,1.6,1.3,1.5,1,2,12,2/24/2019
14-13,14,13,HOV,68,2,3/4/2019,3,10.4,2.2,1.5,1.4,1.4,4,20,2/24/2019
14-14,14,14,HOV,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-15,14,15,BMP,41,2,3/3/2019,2,4.3,1.3,1.3,1.2,1,2,12,2/24/2019
14-16,14,16,FSM,94,2,3/4/2019,3,8.8,1.9,1.5,1.6,1.3,2,16,2/26/2019
14-17,14,17,SEC,55,1,3/10/2019,3,12.7,1.9,1.6,2,1.5,0,10,3/2/2019
14-18,14,18,SEC,27,1,3/8/2019,2,2.1,1.3,1.3,1.8,1.2,2,12,2/27/2019
14-19,14,19,FSM,7,2,3/26/2019,5,7.1,1.9,1.5,1.9,1.8,5,42,3/15/2019
14-20,14,20,FSM,88,1,3/1/2019,1,3.4,1.2,1.3,1.2,1.2,0,4,2/24/2019
14-21,14,21,OWC,69,1,3/21/2019,6,5.4,1.5,1.5,1.4,1.2,6,46,3/12/2019
14-22,14,22,HDM,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-23,14,23,MTD,37,1,3/7/2019,3,4.1,2,1.2,1.7,1.5,6,29,3/2/2019
14-24,14,24,RRM,12,1,3/1/2019,3,7,1.4,1.4,1.1,1.1,4,24,2/23/2019
14-25,14,25,RRM,57,1,4/12/2019,8,4,2.5,1.8,2.1,1.7,6,98,4/3/2019
14-26,14,26,RRM,99,2,3/2/2019,3,7.9,1.9,1.6,1.9,1.9,0,10,2/24/2019
14-27,14,27,MTD,100,2,3/1/2019,2,4.3,1.6,1.4,1.5,0.9,6,22,2/24/2019
14-28,14,28,MTD,4,1,2/28/2019,3,3.4,1.1,1.3,1.5,1.1,2,16,2/23/2019
14-29,14,29,BMP,8,1,3/1/2019,2,5.8,1.3,1.4,1.4,1.2,2,12,2/24/2019
14-30,14,30,EVS,60,2,3/19/2019,5,3.4,1.3,1.5,1.6,1.7,4,38,3/12/2019
14-31,14,31,FSM,92,2,3/4/2019,3,5.9,1.6,1.6,1.5,1.8,4,20,2/24/2019
14-32,14,32,FSM,35,1,3/3/2019,2,4.3,1.7,1.7,1.7,1.8,0,8,2/24/2019
15-1,15,1,HOV,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-2,15,2,SMG,64,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-3,15,3,FSM,13,1,2/26/2019,1,4.3,1.4,1.5,1.2,1,0,8,2/20/2019
15-4,15,4,OWC,92,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-5,15,5,SMG,1,1,3/5/2019,3,8.7,1.7,1.3,1.5,1.3,3,20,2/26/2019
15-6,15,6,MTD,83,2,3/3/2019,3,8,1.8,1.5,1.7,1.4,6,22,2/24/2019
15-7,15,7,RRM,3,1,3/4/2019,4,5,2.2,1.4,1.2,1.5,8,30,2/27/2019
15-8,15,8,EVS,68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-9,15,9,HDM,11,1,3/9/2019,2,10.8,1.4,1.7,1.7,1.5,0,8,2/28/2019
15-10,15,10,HOV,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-11,15,11,FIR,44,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-12,15,12,FIR,70,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-13,15,13,FSM,92,1,3/7/2019,3,6.3,2.1,1.7,1.8,1.4,3,25,2/28/2019
15-14,15,14,SEC,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-15,15,15,SEC,86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-16,15,16,SEC,16,1,2/25/2019,2,3.5,1.5,1.5,1.2,1.2,0,16,2/20/2019
15-17,15,17,FSM,99,1,3/4/2019,2,7.8,2.8,1.4,1.5,1.4,2,14,2/26/2019
15-18,15,18,MBR,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19,15,19,BMP,27,1,3/1/2019,2,6.2,1.4,1.5,1.3,1.9,2,14,2/23/2019
15-20,15,20,RRM,33,2,3/11/2019,5,12.8,2.5,1.9,2,1.4,8,56,3/3/2019
15-21,15,21,MTD,42,1,3/2/2019,3,5.3,1.8,1.6,1.7,1.9,6,30,2/25/2019
15-22,15,22,SMG,53,2,3/19/2019,4,0.8,1.7,1,1,1,6,28,3/10/2019
15-23,15,23,HOV,32,2,3/2/2019,2,7.5,2,1.7,1.7,1.9,2,14,2/24/2019
15-24,15,24,MTD,98,2,3/10/2019,5,1.6,4.9,1.7,1.6,1.6,6,48,3/1/2019
15-25,15,25,SEC,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-26,15,26,MBR,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-27,15,27,EVS,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-28,15,28,MTD,97,2,2/28/2019,2,2.5,1.4,1.5,1.6,1.3,2,10,2/23/2019
15-29,15,29,EVS,75,2,3/20/2019,5,3.1,2.7,1.5,1.5,1.4,4,28,3/14/2019
15-30,15,30,SEC,68,1,2/26/2019,2,4.7,1.5,1.3,1.3,1.5,1,14,2/21/2019
15-31,15,31,FSM,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-32,15,32,FSM,48,2,2/28/2019,2,4.7,1.7,1.7,2.1,1.6,3,22,2/22/2019
16-1,16,1,HDM,84,1,3/6/2019,1,4.2,1.7,1.1,1.1,1.2,0,8,2/25/2019
16-2,16,2,SEC,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-3,16,3,SMG,24,2,3/14/2019,5,11.1,2,1.6,2,1.3,5,30,3/7/2019
16-4,16,4,SMG,79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
