Flat-Pot,Flat,Pot,Pop,ID ,No.,Fl_Time,Fl_Node,St_Height,St_Diam,Fl_Length,Fl_Wid,Fl_Height,Brnc_No,Leaf_No,Time_Bud
16-5,16,5,FSM,44,2,3/2/2019,2,5.6,2.7,1.4,1.4,1.3,2,14,2/24/2019
16-6,16,6,FSM,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-7,16,7,BMP,74,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-8,16,8,HDM,84,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-9,16,9,RRM,19,1,3/11/2019,4,9.7,1.6,1.7,1.8,1.4,2,16,2/27/2019
16-10,16,10,MTD,32,1,3/3/2019,3,8,2.1,1.5,1.6,1.8,5,24,2/25/2019
16-11,16,11,HDM,88,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-12,16,12,OWC,41,2,3/9/2019,4,11.1,1.6,1.4,1.8,1.4,8,32,3/2/2019
16-13,16,13,FIR,95,2,3/2/2019,2,3.9,1,1.5,1.2,1,4,16,2/24/2019
16-14,16,14,OWC,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-15,16,15,BMP,58,1,2/28/2019,3,3.3,1,1.3,1.5,1,4,16,2/22/2019
16-16,16,16,FIR,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-17,16,17,HDM,54,2,3/9/2019,3,8.1,3.5,1.6,2.1,1.9,4,24,3/2/2019
16-18,16,18,MTD,50,1,3/4/2019,3,9.3,1.9,1.3,1.4,1.2,6,44,2/24/2019
16-19,16,19,BMP,21,2,3/2/2019,3,7.8,1.7,1.4,1.5,1.4,4,22,2/24/2019
16-20,16,20,MBR,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-21,16,21,OWC,19,1,3/5/2019,3,11.7,1.9,1.9,1.8,1.7,4,22,2/25/2019
16-22,16,22,MTD,91,2,3/10/2019,5,12.5,2.5,1.4,1.6,1.5,10,68,3/4/2019
16-23,16,23,SMG,34,1,3/20/2019,6,14.8,2.4,1.5,1.8,1.5,11,64,3/11/2019
16-24,16,24,BMP,76,1,3/25/2019,3,10.9,1.5,1.4,1.6,1.3,1,18,3/11/2019
16-25,16,25,HDM,100,2,3/10/2019,4,5.8,2.6,1.5,1.8,1.5,6,36,3/4/2019
16-26,16,26,SMG,58,1,3/4/2019,3,4.4,1.8,1.5,1.5,1.2,5,22,2/25/2019
16-27,16,27,MTD,74,1,3/4/2019,4,7.9,1.9,1.6,1.5,1.4,8,58,2/27/2019
16-28,16,28,HDM,77,1,3/19/2019,6,5.7,2.6,1.6,1.5,1.3,4,48,3/10/2019
16-29,16,29,FSM,86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-30,16,30,OWC,61,1,3/5/2019,3,9.3,1.1,1.6,1.5,1.4,3,16,2/26/2019
16-31,16,31,HOV,68,1,3/20/2019,7,15.4,2,1.7,1.9,1.8,9,50,3/12/2019
16-32,16,32,SMG,88,1,3/9/2019,4,9.1,1.9,1.7,2.2,1.8,4,24,3/2/2019
17-1,17,1,SMG,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-2,17,2,FIR,10,1,3/1/2019,3,8,1.2,1.6,1.1,1.5,0,10,2/23/2019
17-3,17,3,EVS,59,1,4/26/2019,10,12.3,2.3,1.6,1.6,1.9,12,122,4/21/2019
17-4,17,4,MTD,42,2,3/4/2019,3,8.2,1.7,1.5,1.5,1.3,6,28,2/24/2019
17-5,17,5,RRM,69,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6,17,6,BMP,4,1,3/9/2019,3,7.9,1.8,1.6,2.2,1.6,6,26,2/27/2019
17-7,17,7,OWC,52,1,3/9/2019,4,13.5,2.4,1.7,2.4,2,7,22,2/26/2019
17-8,17,8,FIR,70,1,3/3/2019,3,7.4,1.6,1.5,2,1.4,4,22,2/24/2019
17-9,17,9,EVS,55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-10,17,10,HOV,37,1,2/24/2019,1,5.7,1.2,1,1.1,1,0,4,2/21/2019
17-11,17,11,HDM,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-12,17,12,HOV,64,2,3/4/2019,3,6.5,2,1.3,1.4,1.3,6,26,2/26/2019
17-13,17,13,MTD,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-14,17,14,MBR,94,1,2/24/2019,2,6.6,1.5,1.4,1.9,1.2,0,10,2/20/2019
17-15,17,15,SEC,58,2,3/16/2019,5,9.4,3.1,1.3,1.8,1.7,6,56,3/9/2019
17-16,17,16,HDM,69,2,5/2/2019,8,10,4.2,1.2,1.1,0.9,4,52,4/26/2019
17-17,17,17,BMP,90,1,3/1/2019,3,6.6,2,1.7,1.6,1.2,2,16,2/23/2019
17-18,17,18,FIR,34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-19,17,19,HDM,4,1,3/9/2019,3,3.2,2.1,1.6,2.2,1.8,4,22,3/3/2019
17-20,17,20,HOV,73,1,2/24/2019,1,4.7,1.1,1.2,1.2,1.1,0,4,2/20/2019
17-21,17,21,EVS,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-22,17,22,RRM,10,1,2/28/2019,3,9.1,2.3,1.6,1.8,1.7,4,24,2/22/2019
17-23,17,23,HOV,10,1,3/7/2019,4,11.5,2.4,1.7,2,1.5,4,20,2/27/2019
17-24,17,24,RRM,21,2,3/31/2019,6,8.2,2.5,1.8,2.1,1.9,8,86,3/23/2019
17-25,17,25,FSM,78,1,2/28/2019,2,4.4,1.9,1.5,1.8,1.3,6,20,2/23/2019
17-26,17,26,SMG,99,1,3/12/2019,2,5.7,1.1,1.7,1.7,1.6,1,6,3/4/2019
17-27,17,27,SEC,79,1,4/26/2019,6,9.3,1.4,1.6,1.9,1.7,4,52,4/21/2019
17-28,17,28,SMG,22,1,3/10/2019,4,7.7,1.5,1.9,1.8,1.7,1,20,2/28/2019
17-29,17,29,HDM,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-30,17,30,RRM,57,2,4/9/2019,7,7.8,3.8,1.7,1.7,1.7,12,85,4/1/2019
17-31,17,31,FIR,71,2,2/24/2019,2,4.4,1.3,1.9,1.3,1.4,2,12,2/20/2019
17-32,17,32,SEC,27,2,3/2/2019,2,4,1.9,1.5,1.6,1.5,2,14,2/24/2019
18-1,18,1,EVS,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-2,18,2,MTD,74,2,3/12/2019,4,6.6,1.4,1.9,2,1.8,6,46,3/6/2019
18-3,18,3,RRM,6,1,3/24/2019,2,6.4,1.2,1.2,1.2,1.2,2,12,3/10/2019
18-4,18,4,OWC,67,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-5,18,5,EVS,35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-6,18,6,FIR,78,1,3/9/2019,2,1.1,1.9,1,1.2,1.1,2,16,3/2/2019
18-7,18,7,MBR,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-8,18,8,RRM,58,2,3/16/2019,5,12.3,2.7,1.7,1.7,1.6,8,68,3/10/2019
18-9,18,9,BMP,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-10,18,10,OWC,95,1,3/12/2019,4,4.5,2,1.8,1.8,1.5,4,22,3/5/2019
18-11,18,11,MTD,72,1,3/5/2019,2,10.2,1.7,1.4,1.3,1.2,4,26,2/26/2019
18-12,18,12,OWC,22,2,3/8/2019,3,9.8,1.9,1.5,1.8,1.7,3,22,2/27/2019
18-13,18,13,OWC,19,2,3/4/2019,3,5.2,1.8,1.2,1.1,1.1,2,14,2/26/2019
18-14,18,14,EVS,99,2,3/8/2019,3,5.5,1.8,1.4,1.6,1.4,5,28,2/27/2019
18-15,18,15,HOV,51,1,4/1/2019,7,2,2.7,1.7,1.1,1.3,6,86,3/23/2019
18-16,18,16,MBR,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-17,18,17,EVS,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-18,18,18,SMG,16,2,3/11/2019,3,7.2,1.9,1.4,1,1.4,6,26,3/4/2019
18-19,18,19,SMG,88,2,3/15/2019,5,14.3,2.3,1.5,1.8,1.5,0,16,3/9/2019
18-20,18,20,HOV,10,2,2/25/2019,2,4.6,1.6,1.4,1.2,1.3,0,20,2/20/2019
18-21,18,21,HDM,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-22,18,22,HDM,68,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-23,18,23,FIR,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,18,24,OWC,69,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-25,18,25,HOV,17,2,2/27/2019,2,6.9,1.5,1.5,1.5,1.2,0,8,2/20/2019
18-26,18,26,MBR,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-27,18,27,FSM,12,1,2/23/2019,1,3.5,1.5,1.6,0.9,0.8,0,6,2/20/2019
18-28,18,28,HDM,71,1,3/8/2019,2,6.3,2.1,1.5,1.6,1.3,2,16,2/28/2019
18-29,18,29,MBR,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-30,18,30,MTD,14,2,3/7/2019,3,7.3,2.2,1.4,1.8,1.1,4,23,2/26/2019
18-31,18,31,OWC,37,2,3/4/2019,4,11.1,2.4,1.4,1.5,1.2,8,50,2/26/2019
18-32,18,32,EVS,27,1,3/5/2019,3,4.5,2,1.5,1.7,1.6,6,28,2/25/2019
19-1,19,1,EVS,52,1,3/10/2019,4,8.6,2,1.7,1.5,1.4,4,26,3/2/2019
19-2,19,2,OWC,76,1,3/21/2019,6,10.4,1.8,1.4,1.7,1.3,8,40,3/10/2019
19-3,19,3,BMP,13,2,3/13/2019,3,10.9,1.7,1.7,1.8,1.2,6,28,3/5/2019
19-4,19,4,SEC,73,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-5,19,5,MTD,32,2,3/10/2019,4,12.3,2.6,1.7,1.9,1.5,8,48,3/1/2019
19-6,19,6,MTD,59,2,3/12/2019,5,12.2,1.6,1.7,1.4,1.6,9,76,3/4/2019
19-7,19,7,SMG,1,2,3/7/2019,3,6.1,1.2,1.5,1.5,1.1,4,22,2/27/2019
19-8,19,8,FIR,72,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-9,19,9,BMP,27,2,3/4/2019,3,9,2.3,1.3,1.3,1.1,0,10,2/26/2019
19-10,19,10,FSM,14,1,2/25/2019,1,2.2,1.2,1.5,1.2,1.1,0,8,2/20/2019
19-11,19,11,FSM,84,2,3/9/2019,3,10.6,2,1.4,1.8,1.5,2,18,3/1/2019
19-12,19,12,SMG,98,1,3/6/2019,4,10.5,1.7,1.5,1.4,1.3,5,32,2/25/2019
19-13,19,13,BMP,68,1,3/4/2019,3,4.5,1.7,1.5,1.4,1.3,6,28,2/25/2019
19-14,19,14,BMP,8,2,3/7/2019,2,5.2,1.1,1.4,0.9,0.9,2,12,2/26/2019
19-15,19,15,HOV,73,2,2/25/2019,1,4.3,1.2,1.2,1,0.9,0,6,2/20/2019
19-16,19,16,MBR,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-17,19,17,BMP,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-18,19,18,BMP,63,2,3/15/2019,4,8.6,2.7,1.5,1.4,1.5,5,66,3/11/2019
19-19,19,19,MTD,71,1,3/1/2019,3,10,2.1,1.6,1.6,1.4,4,18,2/23/2019
19-20,19,20,OWC,3,1,2/26/2019,2,5.5,1.1,1.5,1.1,1,0,16,2/20/2019
19-21,19,21,BMP,48,1,3/4/2019,4,7.6,1.4,1.5,1.5,1.1,8,38,2/25/2019
19-22,19,22,FSM,9,2,3/4/2019,2,6.2,1.8,1.8,1.7,1.7,2,14,2/26/2019
19-23,19,23,FSM,35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-24,19,24,FIR,67,1,3/11/2019,3,4.5,1.5,1.3,1.7,1.6,4,28,3/1/2019
19-25,19,25,HOV,28,1,2/25/2019,2,4.7,1.1,1.6,1.2,1.5,0,8,2/20/2019
19-26,19,26,RRM,41,2,3/20/2019,6,6.7,2.9,1.8,1.7,1.4,6,52,3/12/2019
19-27,19,27,MTD,37,2,3/2/2019,3,4.9,1.7,1.5,1.6,1.5,6,24,2/24/2019
19-28,19,28,SMG,63,1,3/11/2019,4,5.9,1.1,1.5,1,1.3,1,14,3/3/2019
19-29,19,29,SMG,91,2,3/2/2019,2,4.6,1,1.3,1,1.1,2,12,2/24/2019
19-30,19,30,EVS,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-31,19,31,FIR,14,1,4/3/2019,6,4.4,2,1.6,1.5,1.4,5,56,3/22/2019
19-32,19,32,SMG,61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-1,20,1,OWC,15,1,3/11/2019,4,6.8,2,1.6,2.1,1.5,3,18,3/2/2019
20-2,20,2,HDM,82,1,3/7/2019,3,2.3,1.9,1.2,2.1,1.3,3,16,2/27/2019
20-3,20,3,HDM,43,2,3/10/2019,4,8.2,2.4,1.6,2.1,1.9,6,30,3/1/2019
20-4,20,4,FIR,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-5,20,5,EVS,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-6,20,6,SMG,83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-7,20,7,SEC,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-8,20,8,OWC,52,2,3/6/2019,3,10.3,1.5,1.6,1.4,1.6,4,30,2/28/2019
20-9,20,9,HDM,16,1,2/23/2019,2,6.7,1.6,1.3,1.6,1.1,0,8,2/20/2019
20-10,20,10,HOV,89,1,2/25/2019,2,8.5,1.9,1.5,1.3,1.2,2,18,2/20/2019
20-11,20,11,BMP,33,2,3/10/2019,3,5.8,2.2,1.4,1.4,1.5,4,29,3/1/2019
20-12,20,12,SMG,24,1,3/4/2019,3,8.8,1.9,1.5,1.8,1.4,1,14,2/25/2019
20-13,20,13,HOV,20,1,2/27/2019,2,6.9,1.4,1.5,1.6,1.3,0,8,2/22/2019
20-14,20,14,RRM,33,1,3/28/2019,7,9.2,4,1.5,1.8,1.5,7,62,3/21/2019
20-15,20,15,BMP,93,2,3/12/2019,2,8.9,1,1.6,1.9,1.8,4,21,3/2/2019
20-16,20,16,MTD,86,1,3/2/2019,4,8.7,1.8,1.6,1.9,1.5,8,44,2/23/2019
20-17,20,17,SEC,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-18,20,18,OWC,8,1,3/17/2019,7,14.5,2.3,1.1,1.3,1.1,12,58,3/9/2019
20-19,20,19,HDM,100,1,3/8/2019,4,14.9,2.5,1.8,1.6,1.6,1,16,3/1/2019
20-20,20,20,HDM,21,1,3/3/2019,2,6.4,1.3,1.5,1.5,1.3,0,6,2/24/2019
20-21,20,21,SEC,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-22,20,22,BMP,68,2,3/12/2019,3,6.9,1.6,1.7,1.7,1.7,6,40,3/2/2019
20-23,20,23,RRM,19,2,3/16/2019,6,17.8,2.5,1.7,1.8,1.7,8,56,3/9/2019
20-24,20,24,MTD,13,1,3/3/2019,4,9.3,2.6,1.5,1.8,1.5,6,40,2/25/2019
20-25,20,25,OWC,80,1,3/8/2019,3,9.4,2.2,1.7,1.5,1.6,0,12,2/28/2019
20-26,20,26,FSM,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-27,20,27,HDM,74,2,3/15/2019,4,18.5,2,1.4,1.7,1.6,5,28,3/9/2019
20-28,20,28,RRM,86,1,3/10/2019,5,7.1,1.9,1.7,1.7,1.8,8,46,3/1/2019
20-29,20,29,FSM,96,2,3/4/2019,3,7.7,1.7,1.5,1.6,1.7,2,24,2/25/2019
20-30,20,30,RRM,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-31,20,31,RRM,14,1,3/8/2019,4,9.8,2.2,1.8,2.2,2.1,3,23,2/27/2019
20-32,20,32,OWC,41,1,3/4/2019,3,8.1,1.9,1.4,1.7,1.2,3,18,2/26/2019
21-1,21,1,FSM,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-2,21,2,EVS,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-3,21,3,FSM,95,2,2/28/2019,2,7.9,1.3,1.4,1.6,1.3,1,12,2/20/2019
21-4,21,4,MBR,77,1,3/10/2019,4,9.6,1.4,1.9,2.3,2.1,6,26,3/2/2019
21-5,21,5,SMG,91,1,5/4/2019,8,5.5,1.6,1.3,1.5,1.1,12,110,4/28/2019
21-6,21,6,SMG,41,1,3/15/2019,2,7.9,1.3,1.4,1.6,1.4,0,8,3/4/2019
21-7,21,7,HOV,90,2,3/8/2019,4,13.5,1.7,2,2.3,2.1,6,54,2/25/2019
21-8,21,8,HOV,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-9,21,9,EVS,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-10,21,10,SEC,37,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-11,21,11,HOV,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-12,21,12,HOV,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-13,21,13,FSM,96,1,3/2/2019,2,6.3,1.7,1.6,1.6,1.9,3,16,2/23/2019
21-14,21,14,MTD,45,2,3/9/2019,5,11.6,1.5,1.7,2.4,1.9,8,44,3/1/2019
21-15,21,15,FSM,2,1,2/23/2019,1,4.6,1.7,1.6,1.7,1.4,0,8,2/20/2019
21-16,21,16,FSM,85,1,2/23/2019,1,3.6,1.2,1.3,1.3,0.9,0,6,2/20/2019
21-17,21,17,FIR,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-18,21,18,BMP,41,1,3/5/2019,3,9,1.9,1.9,1.7,1.4,4,26,2/24/2019
21-19,21,19,FSM,13,2,2/28/2019,2,7.7,1.6,1.8,1.9,1.3,4,16,2/20/2019
21-20,21,20,FIR,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-21,21,21,SEC,14,2,3/13/2019,4,12.3,1.8,1.5,1.6,1.7,6,44,3/4/2019
21-22,21,22,RRM,53,1,3/12/2019,7,17.3,1.6,1.8,1.3,1.3,12,68,3/6/2019
21-23,21,23,SMG,35,1,2/28/2019,3,6.9,1.6,1.6,1.7,1.3,3,18,2/22/2019
21-24,21,24,MTD,77,1,4/21/2019,8,8.5,1.3,1.5,1.4,1.5,10,104,4/11/2019
21-25,21,25,SEC,55,2,3/13/2019,4,3.7,2.8,1.5,1.7,1.5,6,44,3/7/2019
21-26,21,26,HOV,13,1,3/8/2019,2,6.6,0.9,1.6,1.5,1.6,2,10,2/25/2019
21-27,21,27,FIR,8,2,3/4/2019,3,6.8,1.3,1.3,1.1,1.1,4,26,2/26/2019
21-28,21,28,RRM,9,1,3/14/2019,6,13.1,4,1.8,2.3,1.4,6,48,3/6/2019
21-29,21,29,RRM,22,1,3/11/2019,5,12.2,2.3,1.7,1.9,1.5,6,40,3/4/2019
21-30,21,30,MTD,2,1,3/1/2019,3,6.4,1.9,1.8,1.9,1.1,5,40,2/23/2019
21-31,21,31,EVS,80,1,3/1/2019,4,12.5,2,1.8,2.1,1.8,7,52,2/23/2019
21-32,21,32,FIR,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-1,22,1,MBR,43,2,3/15/2019,3,15.2,2.8,1.6,1.8,1.8,0,12,3/5/2019
22-2,22,2,MBR,47,1,3/6/2019,3,5.5,1.9,1.6,1.5,1.3,3,20,2/27/2019
22-3,22,3,FIR,26,2,3/12/2019,4,6.1,1.6,1.7,1.6,1.6,6,38,3/5/2019
22-4,22,4,EVS,68,1,3/3/2019,2,3.8,1.4,1.4,1.2,1.3,3,16,2/24/2019
22-5,22,5,HOV,33,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-6,22,6,RRM,67,1,3/8/2019,4,10.1,3,1.8,2.2,1.9,6,34,2/27/2019
22-7,22,7,BMP,21,1,3/9/2019,4,7.7,1.5,1.5,1.9,1.4,8,38,3/1/2019
22-8,22,8,HOV,36,1,3/3/2019,2,6.5,1.3,1.4,1.3,1.2,0,8,2/24/2019
22-9,22,9,RRM,67,2,3/10/2019,4,11,2.3,1.8,2.2,1.6,10,52,3/2/2019
22-10,22,10,MTD,57,2,2/26/2019,2,3.8,1.6,1.5,1.3,1.1,1,10,2/21/2019
22-11,22,11,HOV,8,1,3/7/2019,4,9.4,2.3,1.7,2.1,1.7,6,28,2/25/2019
22-12,22,12,HDM,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-13,22,13,MBR,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-14,22,14,MBR,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-15,22,15,MBR,59,2,3/4/2019,3,9.3,1.6,1.8,1.6,1.6,2,16,2/24/2019
22-16,22,16,MTD,4,2,3/27/2019,8,5.1,1.8,1.6,1.8,1.5,10,102,3/20/2019
22-17,22,17,FSM,60,2,3/4/2019,2,6.5,2,1.4,1.7,1.3,2,22,2/25/2019
22-18,22,18,SEC,14,1,3/9/2019,3,9.6,1.7,1.3,1.8,1.5,3,18,2/28/2019
22-19,22,19,OWC,8,2,3/19/2019,5,13.3,2.1,1.6,1.5,1.5,8,50,3/11/2019
22-20,22,20,RRM,10,2,3/1/2019,3,5.6,1.3,1.7,1.6,1.4,4,20,2/23/2019
22-21,22,21,EVS,28,1,3/31/2019,4,11.8,1.8,1.6,1.8,1.4,5,46,3/21/2019
22-22,22,22,EVS,8,2,3/28/2019,7,12.6,2.3,1.8,1.9,1.8,8,84,3/20/2019
22-23,22,23,MTD,17,1,3/4/2019,4,8.3,2.2,1.4,1.8,1.8,8,48,2/24/2019
22-24,22,24,HDM,1,2,3/22/2019,5,13.2,1.1,1.5,1.7,1.8,6,44,3/13/2019
22-25,22,25,SEC,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-26,22,26,RRM,85,1,3/11/2019,5,10.1,2,1.8,1.3,1.9,5,50,3/8/2019
22-27,22,27,BMP,25,1,3/3/2019,2,5.2,1.7,1.5,1.4,1.2,0,10,2/24/2019
22-28,22,28,MBR,22,2,3/10/2019,3,1.9,1,1.5,1.5,1.5,5,34,2/28/2019
22-29,22,29,RRM,28,1,3/11/2019,4,4.1,1.5,1.6,1.2,1.4,6,26,3/8/2019
22-30,22,30,FSM,15,2,3/17/2019,4,8,2,1.7,1.8,1.7,4,28,3/10/2019
22-31,22,31,OWC,55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-32,22,32,SMG,34,2,3/5/2019,3,6.1,1.7,1.5,1.5,1.3,4,24,2/26/2019
23-1,23,1,RRM,85,2,3/14/2019,5,3.5,7.5,1.6,2.1,1.4,3,43,3/7/2019
23-2,23,2,FSM,68,1,3/9/2019,3,4.5,1.7,1.6,2.2,1.9,6,20,3/1/2019
23-3,23,3,FIR,48,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-4,23,4,MBR,95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-5,23,5,SEC,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-6,23,6,HOV,16,1,2/28/2019,3,4.8,1,1.2,1.5,1.4,0,9,2/22/2019
23-7,23,7,SEC,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-8,23,8,FSM,72,1,2/25/2019,1,4,1.5,1.4,1.4,1.2,0,8,2/20/2019
23-9,23,9,OWC,66,1,3/10/2019,2,7,1.8,1.4,1.5,1.4,0,10,3/2/2019
23-10,23,10,MBR,87,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-11,23,11,BMP,7,1,3/4/2019,2,8.9,1.6,1.8,1.6,1.4,2,12,2/27/2019
23-12,23,12,MBR,15,1,3/7/2019,3,5.8,1.6,1.4,1.6,1,5,35,2/28/2019
23-13,23,13,EVS,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-14,23,14,HDM,50,1,2/25/2019,2,4.1,1.7,1.3,1.2,1.3,2,12,2/20/2019
23-15,23,15,BMP,19,1,3/1/2019,2,5.9,1.7,1.9,1.4,1.3,1,14,2/23/2019
23-16,23,16,FIR,24,1,3/3/2019,3,7.4,1.7,1.9,1.4,2,0,10,2/24/2019
